age,income,student,credit_rating,buys_computer
text,text,text,text,text
youth,high,no,fair,yes
youth,high,yes,excellent,yes
youth,high,no,excellent,yes
youth,medium,no,excellent,yes
middle_aged,high,no,fair,yes
senior,medium,no,fair,yes
senior,low,yes,fair,yes
senior,low,yes,excellent,yes
middle_aged,low,yes,excellent,yes
youth,medium,no,fair,yes
youth,low,yes,fair,yes
senior,medium,yes,fair,yes
youth,medium,yes,excellent,yes
middle_aged,medium,no,excellent,yes
middle_aged,high,yes,fair,yes
senior,high,no,excellent,yes
senior,medium,yes,excellent,no
senior,medium,no,fair,yes
senior,low,no,excellent,yes
middle_aged,low,yes,excellent,yes
youth,medium,no,fair,yes
youth,low,yes,fair,yes
senior,medium,yes,fair,yes
youth,medium,yes,excellent,yes
middle_aged,medium,no,excellent,yes
middle_aged,high,yes,fair,yes
senior,high,no,excellent,yes
senior,medium,yes,excellent,yes
senior,medium,no,fair,yes
senior,low,no,excellent,yes
